artist_name,track_name,popularity
Juice WRLD,All Girls Are The Same,83
Juice WRLD,Lucid Dreams,84
Fleetwood Mac,Rhiannon (Will You Ever Win) - 2018 Remaster,49
Joji,SLOW DANCING IN THE DARK,83
Revenant,Year 2018,0
Morgan Wallen,Whiskey Glasses,78
Frank Sinatra,It Was A Very Good Year - 2008 Remastered,43
Lil Baby,Drip Too Hard (Lil Baby & Gunna),80
Fleetwood Mac,Gypsy - 2018 Remaster,46
Billie Eilish,lovely (with Khalid),87
Anthem Lights,K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),31
girl in red,we fell in love in october,83
Fleetwood Mac,Tusk - 2018 Remaster,48
XXXTENTACION,SAD!,84
Anthem Lights,K-Love Fan Awards: Songs of the Year (2014 Mash-Up),26
Luke Combs,Beautiful Crazy,78
Fleetwood Mac,Dreams - 2018 Remaster,48
Lil Baby,Yes Indeed,78
The Kiboomers,The Months of the Year - 2014 Version,28
Playboi Carti,Shoota (feat. Lil Uzi Vert),78
Fleetwood Mac,The Chain - Live 1997; 2018 Remaster,50
Travis Scott,SICKO MODE,83
Tori Amos,Pretty Good Year - 2015 Remaster,23
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,82
Fleetwood Mac,Seven Wonders - 2018 Remaster,46
XXXTENTACION,Hope,84
Riff Raff,Rookie of the Year 2013,18
Post Malone,rockstar (feat. 21 Savage),83
